decade,Nation1,Nation2,n,nation_pair
1880,scotland,nevis,1,scotland-nevis
1880,scotland,orkney,8,scotland-orkney
1880,scotland,scotland,13,scotland-scotland
1880,scotland,shetland,2,scotland-shetland
1880,scotland,the hebrides,2,scotland-the hebrides
1880,scotland,west coast,1,scotland-west coast
1880,seychelles,mauritius,1,seychelles-mauritius
1880,south africa,bechuanaland,32,south africa-bechuanaland
1880,south africa,cape colony,4,south africa-cape colony
1880,south africa,colonial,1,south africa-colonial
1880,south africa,colonies,3,south africa-colonies
1880,south africa,england,1,south africa-england
1880,south africa,kaffir,1,south africa-kaffir
1880,south africa,natal,18,south africa-natal
1880,south africa,orange free state,1,south africa-orange free state
1880,south africa,pondoland,5,south africa-pondoland
1880,south africa,south africa,1,south africa-south africa
1880,south africa,swaziland,1,south africa-swaziland
1880,south africa,transvaal,132,south africa-transvaal
1880,south africa,zulu,8,south africa-zulu
1880,south africa,zululand,66,south africa-zululand
1880,spain,borneo,1,spain-borneo
1880,spain,colonial,1,spain-colonial
1880,spain,cuba,3,spain-cuba
1880,spain,england,3,spain-england
1880,spain,fernando po,3,spain-fernando po
1880,spain,gibraltar,14,spain-gibraltar
1880,spain,spanish,5,spain-spanish
1880,spain,tangier,2,spain-tangier
1880,spain,the spanish colonies,1,spain-the spanish colonies
1880,spain,united states,1,spain-united states
1880,sweden,norway,1,sweden-norway
1880,tasmania,new zealand,1,tasmania-new zealand
1880,the channel islands,guernsey,2,the channel islands-guernsey
1880,the channel islands,jersey,1,the channel islands-jersey
1880,the colonies,colonial,3,the colonies-colonial
1880,the colonies,imperial,1,the colonies-imperial
1880,the niger,guinea,1,the niger-guinea
1880,tunis,france,1,tunis-france
1880,turkey,albania,2,turkey-albania
1880,turkey,america,1,turkey-america
1880,turkey,armenia,5,turkey-armenia
1880,turkey,greece,14,turkey-greece
1880,turkey,jews,1,turkey-jews
1880,turkey,lebanon,4,turkey-lebanon
1880,turkey,macedonia,5,turkey-macedonia
1880,turkey,roumelia,2,turkey-roumelia
1880,turkey,russia,1,turkey-russia
1880,turkey,turkey,2,turkey-turkey
1880,united kingdom,colonies,1,united kingdom-colonies
1880,united states,canada,2,united states-canada
1880,united states,ireland,2,united states-ireland
1880,united states,italy,1,united states-italy
1880,united states,mexico,1,united states-mexico
1880,united states,west india,1,united states-west india
1880,united states,west indies,2,united states-west indies
1880,united states of america,west india,1,united states of america-west india
1880,venezuela,british guiana,3,venezuela-british guiana
1880,venezuela,panama,1,venezuela-panama
1880,venezuela,trinidad,1,venezuela-trinidad
1880,venezuela,united states,2,venezuela-united states
1880,victoria,wales,1,victoria-wales
1880,wales,england,3,wales-england
1880,wales,ireland,5,wales-ireland
1880,west,australia,1,west-australia
1880,west,colonies,1,west-colonies
1880,west,england,1,west-england
1880,west,ireland,2,west-ireland
1880,west,west,8,west-west
1880,west coast,africa,3,west coast-africa
1880,west coast,shetland,1,west coast-shetland
1880,west india,colonies,5,west india-colonies
1880,west india,dominica,2,west india-dominica
1880,west india,grenada,1,west india-grenada
1880,west india,montserrat,1,west india-montserrat
1880,west india,the bahamas,1,west india-the bahamas
1880,west india,united states,1,west india-united states
1880,west indies,barbadoes,1,west indies-barbadoes
1880,west indies,demerara,2,west indies-demerara
1880,west indies,dominica,1,west indies-dominica
1880,west indies,grenada,5,west indies-grenada
1880,west indies,jamaica,7,west indies-jamaica
1880,west indies,united states,1,west indies-united states
1880,zulu,colonial,1,zulu-colonial
1890,africa,west coast,1,africa-west coast
1890,africa,zanzibar,1,africa-zanzibar
1890,alaska,british columbia,1,alaska-british columbia
1890,america,hong kong,1,america-hong kong
1890,america,west india,1,america-west india
1890,atlantic,canada,1,atlantic-canada
1890,atlantic,pacific,1,atlantic-pacific
1890,australia,canada,1,australia-canada
1890,australia,india,1,australia-india
1890,australia,new zealand,1,australia-new zealand
1890,austria,hungary,1,austria-hungary
1890,bechuanaland,cyprus,1,bechuanaland-cyprus
1890,belgium,china,1,belgium-china
1890,belgium,germany,2,belgium-germany
1890,belgium,new zealand,1,belgium-new zealand
1890,bermuda,jamaica,2,bermuda-jamaica
1890,boer,south africa,1,boer-south africa
1890,boer,swaziland,1,boer-swaziland
1890,boer,transvaal,2,boer-transvaal
1890,burma,china,2,burma-china
1890,burma,punjab,1,burma-punjab
1890,burma,siam,1,burma-siam
1890,canada,alaska,1,canada-alaska
1890,canada,australasia,2,canada-australasia
1890,canada,australia,3,canada-australia
1890,canada,united states,1,canada-united states
1890,central,india,3,central-india
1890,central,ireland,6,central-ireland
1890,china,india,1,china-india
1890,china,italy,1,china-italy
1890,china,japan,11,china-japan
1890,chittagong,assam,1,chittagong-assam
1890,colonial,british guiana,1,colonial-british guiana
1890,colonial,england,1,colonial-england
1890,colonial,imperial,1,colonial-imperial
1890,colonial,south africa,1,colonial-south africa
1890,colonial,united kingdom,1,colonial-united kingdom
1890,colonies,australasia,1,colonies-australasia
1890,colonies,imperial,1,colonies-imperial
1890,east india,africa,1,east india-africa
1890,england,abyssinia,1,england-abyssinia
1890,england,america,2,england-america
1890,england,france,7,england-france
1890,england,india,2,england-india
1890,england,ireland,12,england-ireland
1890,england,italy,1,england-italy
1890,england,russia,1,england-russia
1890,england,scotland,9,england-scotland
1890,england,spain,1,england-spain
1890,england,the continent,1,england-the continent
1890,england,turkey,1,england-turkey
1890,england,united states,2,england-united states
1890,england,vatican,1,england-vatican
1890,europeans,china,1,europeans-china
1890,france,canada,1,france-canada
1890,france,central africa,1,france-central africa
1890,france,china,4,france-china
1890,france,congo,1,france-congo
1890,france,congo free state,1,france-congo free state
1890,france,england,1,france-england
1890,france,madagascar,8,france-madagascar
1890,france,newfoundland,1,france-newfoundland
1890,france,nile valley,1,france-nile valley
1890,france,siam,11,france-siam
1890,france,the niger,2,france-the niger
1890,germany,africa,1,germany-africa
1890,germany,belgium,3,germany-belgium
1890,germany,china,2,germany-china
1890,germany,congo,1,germany-congo
1890,germany,japan,1,germany-japan
1890,highlands and islands,scotland,8,highlands and islands-scotland
1890,home,india,1,home-india
1890,home,ireland,1,home-ireland
1890,home,scotland,1,home-scotland
1890,honduras,nicaragua,1,honduras-nicaragua
1890,imperial,africa,2,imperial-africa
1890,imperial,canada,1,imperial-canada
1890,imperial,colonial,1,imperial-colonial
1890,imperial,ireland,1,imperial-ireland
1890,imperial,south africa,1,imperial-south africa
1890,india,assam,1,india-assam
1890,india,australia,2,india-australia
1890,india,central,1,india-central
1890,india,china,2,india-china
1890,india,imperial,2,india-imperial
1890,india,india,1,india-india
1890,india,the colonies,1,india-the colonies
1890,ireland,central,1,ireland-central
1890,ireland,scotland,1,ireland-scotland
1890,italy,abyssinia,3,italy-abyssinia
1890,italy,china,2,italy-china
1890,italy,egypt,2,italy-egypt
1890,jamaica,united states,1,jamaica-united states
1890,japan,china,2,japan-china
1890,jews,russia,2,jews-russia
1890,lagos,gold coast,1,lagos-gold coast
1890,malta,gibraltar,2,malta-gibraltar
1890,natal,zululand,1,natal-zululand
1890,new zealand,samoa,1,new zealand-samoa
1890,newfoundland,canada,3,newfoundland-canada
1890,niger,niger coast,1,niger-niger coast
1890,nova scotia,bermuda,1,nova scotia-bermuda
1890,oman,ireland,2,oman-ireland
1890,oman,scotland,2,oman-scotland
1890,oman,uganda,1,oman-uganda
1890,orkney,shetland,1,orkney-shetland
1890,portugal,africa,2,portugal-africa
1890,queensland,mauritius,1,queensland-mauritius
1890,russia,abyssinia,1,russia-abyssinia
1890,russia,armenia,1,russia-armenia
1890,russia,china,12,russia-china
1890,russia,corea,2,russia-corea
1890,russia,germany,1,russia-germany
1890,russia,korea,1,russia-korea
1890,russia,united states,1,russia-united states
1890,samoa,alaska,1,samoa-alaska
1890,scotland,ireland,6,scotland-ireland
1890,sierra leone,gold coast,1,sierra leone-gold coast
1890,south africa,australia,1,south africa-australia
1890,spain,united states,2,spain-united states
1890,spanish,canada,1,spanish-canada
1890,spanish,colonies,1,spanish-colonies
1890,spanish,west indies,2,spanish-west indies
1890,swaziland,transvaal,1,swaziland-transvaal
1890,sweden,norway,1,sweden-norway
1890,syria,macedonia,1,syria-macedonia
1890,the colonies,transvaal,1,the colonies-transvaal
1890,transvaal,niger,1,transvaal-niger
1890,transvaal,swaziland,2,transvaal-swaziland
1890,trinidad,tobago,1,trinidad-tobago
1890,tunis,canada,1,tunis-canada
1890,turkey,egypt,1,turkey-egypt
1890,turkey,greece,6,turkey-greece
1890,turkey,japan,1,turkey-japan
1890,uganda,west,1,uganda-west
1890,united states,argentine,1,united states-argentine
1890,united states,canada,1,united states-canada
1890,united states,newfoundland,2,united states-newfoundland
1890,united states,spain,5,united states-spain
1890,victoria,imperial,1,victoria-imperial
1890,wales,ireland,1,wales-ireland
1890,west,africa,18,west-africa
1890,west,australia,1,west-australia
1890,west,china,1,west-china
1890,west,england,2,west-england
1890,west,highlands and islands,3,west-highlands and islands
1890,west,india,4,west-india
1890,west,ireland,9,west-ireland
1890,west,morocco,1,west-morocco
1890,west,scotland,1,west-scotland
1890,west coast,africa,2,west coast-africa
1890,west coast,ireland,1,west coast-ireland
1890,west coast,scotland,4,west coast-scotland
1890,west coast,wales,1,west coast-wales
1890,west india,colonies,5,west india-colonies
1890,zululand,natal,1,zululand-natal
1900,afghanistan,germany,2,afghanistan-germany
1900,africa,uganda,3,africa-uganda
1900,america,cuba,1,america-cuba
1900,america,new zealand,1,america-new zealand
1900,arab,natal,1,arab-natal
1900,argentine,united kingdom,1,argentine-united kingdom
1900,argentine republic,germany,1,argentine republic-germany
1900,ashanti,west,1,ashanti-west
1900,atlantic,pacific,1,atlantic-pacific
1900,australia,australia,2,australia-australia
1900,australia,imperial,1,australia-imperial
1900,australia,new zealand,1,australia-new zealand
1900,australia,pacific,1,australia-pacific
1900,australia,south africa,1,australia-south africa
1900,austria,hungary,1,austria-hungary
1900,barbadoes,st lucia,1,barbadoes-st lucia
1900,belgium,congo,2,belgium-congo
1900,bengal,assam,2,bengal-assam
1900,bermuda,barbados,1,bermuda-barbados
1900,bermuda,jamaica,1,bermuda-jamaica
1900,boer,bermuda,3,boer-bermuda
1900,boer,canada,1,boer-canada
1900,boer,cape colony,2,boer-cape colony
1900,boer,colonial,2,boer-colonial
1900,boer,france,1,boer-france
1900,boer,imperial,1,boer-imperial
1900,boer,india,4,boer-india
1900,boer,ireland,1,boer-ireland
1900,boer,orange free state,1,boer-orange free state
1900,boer,tasmania,1,boer-tasmania
1900,british guiana,brazil,1,british guiana-brazil
1900,british guiana,canada,1,british guiana-canada
1900,british guiana,trinidad,1,british guiana-trinidad
1900,british west indians,galapagos islands,1,british west indians-galapagos islands
1900,burma,china,1,burma-china
1900,canada,america,1,canada-america
1900,canada,atlantic,1,canada-atlantic
1900,canada,australasia,1,canada-australasia
1900,canada,australia,2,canada-australia
1900,canada,colonial,3,canada-colonial
1900,canada,germany,1,canada-germany
1900,canada,home,1,canada-home
1900,canada,new zealand,2,canada-new zealand
1900,canada,united kingdom,2,canada-united kingdom
1900,canada,united states,2,canada-united states
1900,cape colony,rhodesia,1,cape colony-rhodesia
1900,cape colony,transvaal,2,cape colony-transvaal
1900,central,africa,1,central-africa
1900,central,america,1,central-america
1900,central,arabia,1,central-arabia
1900,central,india,1,central-india
1900,central,ireland,3,central-ireland
1900,central,south africa,2,central-south africa
1900,central africa,imperial,1,central africa-imperial
1900,central africa,transvaal,3,central africa-transvaal
1900,chad,nigeria,1,chad-nigeria
1900,china,china,1,china-china
1900,china,england,1,china-england
1900,china,europeans,1,china-europeans
1900,china,italy,1,china-italy
1900,china,japan,3,china-japan
1900,china,new zealand,1,china-new zealand
1900,china,russia,7,china-russia
1900,china,south africa,1,china-south africa
1900,china,tibet,1,china-tibet
1900,china,transvaal,3,china-transvaal
1900,china,united states,1,china-united states
1900,china,west,3,china-west
1900,colonial,boer,1,colonial-boer
1900,colonial,cape colony,1,colonial-cape colony
1900,colonial,colonial,1,colonial-colonial
1900,colonial,colonies,1,colonial-colonies
1900,colonial,imperial,2,colonial-imperial
1900,colonial,ireland,1,colonial-ireland
1900,colonial,jamaica,1,colonial-jamaica
1900,colonial,south africa,4,colonial-south africa
1900,colonial,the colonies,1,colonial-the colonies
1900,colonies,colonial,4,colonies-colonial
1900,colonies,holland,1,colonies-holland
1900,colonies,home,1,colonies-home
1900,colonies,india,1,colonies-india
1900,colonies,transvaal,1,colonies-transvaal
1900,congo,colonial,1,congo-colonial
1900,congo free state,south africa,1,congo free state-south africa
1900,cuba,united states,1,cuba-united states
1900,cuba,venezuela,1,cuba-venezuela
1900,demerara,trinidad,1,demerara-trinidad
1900,denmark,argentine,1,denmark-argentine
1900,east india,china,2,east india-china
1900,east india,the colonies,1,east india-the colonies
1900,east india,trinidad,1,east india-trinidad
1900,east india,west indies,1,east india-west indies
1900,egypt,england,1,egypt-england
1900,egypt,the colonies,1,egypt-the colonies
1900,england,america,1,england-america
1900,england,france,4,england-france
1900,england,germany,2,england-germany
1900,england,ireland,6,england-ireland
1900,england,italy,2,england-italy
1900,england,macedonia,1,england-macedonia
1900,england,natal,2,england-natal
1900,england,norway,1,england-norway
1900,england,scotland,10,england-scotland
1900,england,spain,1,england-spain
1900,england,wales,1,england-wales
1900,europeans,egypt,1,europeans-egypt
1900,europeans,india,2,europeans-india
1900,europeans,malay states,1,europeans-malay states
1900,europeans,punjab,1,europeans-punjab
1900,fernando po,lagos,1,fernando po-lagos
1900,fiji,new zealand,1,fiji-new zealand
1900,france,belgium,1,france-belgium
1900,france,england,1,france-england
1900,france,germany,9,france-germany
1900,france,italy,1,france-italy
1900,france,morocco,1,france-morocco
1900,france,new hebrides,1,france-new hebrides
1900,france,nigeria,1,france-nigeria
1900,france,russia,2,france-russia
1900,france,siam,2,france-siam
1900,france,sierra leone,1,france-sierra leone
1900,france,spain,2,france-spain
1900,france,united kingdom,1,france-united kingdom
1900,germany,abyssinia,1,germany-abyssinia
1900,germany,austria,1,germany-austria
1900,germany,canada,5,germany-canada
1900,germany,congo free state,1,germany-congo free state
1900,germany,england,2,germany-england
1900,germany,france,3,germany-france
1900,germany,holland,1,germany-holland
1900,germany,italy,3,germany-italy
1900,germany,portugal,1,germany-portugal
1900,germany,prussia,1,germany-prussia
1900,germany,south africa,1,germany-south africa
1900,germany,united kingdom,1,germany-united kingdom
1900,germany,united states,6,germany-united states
1900,germany,west,1,germany-west
1900,gibraltar,malta,2,gibraltar-malta
1900,gibraltar,spanish,1,gibraltar-spanish
1900,gilbert islands,pacific,1,gilbert islands-pacific
1900,goa,portugal,1,goa-portugal
1900,gold coast,lagos,1,gold coast-lagos
1900,guernsey,jersey,1,guernsey-jersey
1900,hausa,west,1,hausa-west
1900,herzegovina,austria,1,herzegovina-austria
1900,highlands and islands,scotland,2,highlands and islands-scotland
1900,holland,central,1,holland-central
1900,home,australasia,1,home-australasia
1900,home,china,1,home-china
1900,home,colonies,1,home-colonies
1900,home,imperial,1,home-imperial
1900,home,india,1,home-india
1900,home,ireland,1,home-ireland
1900,home,south africa,3,home-south africa
1900,hong kong,pacific,1,hong kong-pacific
1900,hungary,australia,1,hungary-australia
1900,hungary,montenegro,1,hungary-montenegro
1900,imperial,australia,2,imperial-australia
1900,imperial,canada,2,imperial-canada
1900,imperial,colonial,3,imperial-colonial
1900,imperial,east india,1,imperial-east india
1900,imperial,england,1,imperial-england
1900,imperial,germany,1,imperial-germany
1900,imperial,home,3,imperial-home
1900,imperial,imperial,1,imperial-imperial
1900,imperial,india,1,imperial-india
1900,imperial,ireland,2,imperial-ireland
1900,imperial,natal,3,imperial-natal
1900,imperial,new south wales,1,imperial-new south wales
1900,imperial,newfoundland,1,imperial-newfoundland
1900,imperial,scotland,1,imperial-scotland
1900,imperial,south africa,5,imperial-south africa
1900,imperial,transvaal,3,imperial-transvaal
1900,imperial,united kingdom,1,imperial-united kingdom
1900,india,bengal,4,india-bengal
1900,india,burma,1,india-burma
1900,india,central,2,india-central
1900,india,china,2,india-china
1900,india,colonial,4,india-colonial
1900,india,darjeeling,1,india-darjeeling
1900,india,home,1,india-home
1900,india,imperial,5,india-imperial
1900,india,india,1,india-india
1900,india,mauritius,1,india-mauritius
1900,india,punjab,1,india-punjab
1900,india,south africa,5,india-south africa
1900,india,the colonies,4,india-the colonies
1900,india,tibet,1,india-tibet
1900,india,transvaal,1,india-transvaal
1900,india,west,1,india-west
1900,india,west india,1,india-west india
1900,ireland,england,2,ireland-england
1900,ireland,france,1,ireland-france
1900,ireland,new zealand,1,ireland-new zealand
1900,ireland,scotland,3,ireland-scotland
1900,ireland,wales,1,ireland-wales
1900,italy,congo free state,1,italy-congo free state
1900,jamaica,nova scotia,1,jamaica-nova scotia
1900,japan,australia,1,japan-australia
1900,japan,china,1,japan-china
1900,japan,hong kong,1,japan-hong kong
1900,japan,siam,1,japan-siam
1900,jersey,united kingdom,2,jersey-united kingdom
1900,jews,roumania,2,jews-roumania
1900,kaffir,natal,1,kaffir-natal
1900,kaffir,south africa,1,kaffir-south africa
1900,kaffir,transvaal,2,kaffir-transvaal
1900,kaffirs,transvaal,4,kaffirs-transvaal
1900,malagasy,transvaal,1,malagasy-transvaal
1900,malay states,singapore,1,malay states-singapore
1900,malta,gibraltar,1,malta-gibraltar
1900,mauritius,central africa,2,mauritius-central africa
1900,mauritius,malay states,1,mauritius-malay states
1900,natal,south africa,1,natal-south africa
1900,natal,zululand,1,natal-zululand
1900,new hebrides,sierra leone,1,new hebrides-sierra leone
1900,new zealand,china,3,new zealand-china
1900,new zealand,natal,1,new zealand-natal
1900,new zealand,south africa,1,new zealand-south africa
1900,niger,chad,2,niger-chad
1900,nigeria,hausa,1,nigeria-hausa
1900,nigeria,sierra leone,1,nigeria-sierra leone
1900,nigeria,trinidad,1,nigeria-trinidad
1900,norway,sweden,3,norway-sweden
1900,oman,colonial,1,oman-colonial
1900,oman,ireland,2,oman-ireland
1900,oman,malta,2,oman-malta
1900,oman,west,1,oman-west
1900,pacific,queensland,1,pacific-queensland
1900,pacific islands,new zealand,1,pacific islands-new zealand
1900,panama,america,1,panama-america
1900,philippine islands,united states,1,philippine islands-united states
1900,rhodesia,congo,1,rhodesia-congo
1900,rhodesia,imperial,2,rhodesia-imperial
1900,rhodesia,south africa,1,rhodesia-south africa
1900,rhodesia,transvaal,1,rhodesia-transvaal
1900,roumania,jews,2,roumania-jews
1900,russia,afghanistan,7,russia-afghanistan
1900,russia,germany,1,russia-germany
1900,russia,japan,2,russia-japan
1900,russia,korea,4,russia-korea
1900,russia,morocco,1,russia-morocco
1900,russia,poland,1,russia-poland
1900,russia,sweden,1,russia-sweden
1900,russia,turkey,2,russia-turkey
1900,sarawak,brunei,1,sarawak-brunei
1900,scotland,england,1,scotland-england
1900,scotland,ireland,6,scotland-ireland
1900,scotland,scotland,2,scotland-scotland
1900,shetland,scotland,1,shetland-scotland
1900,somaliland,africa,1,somaliland-africa
1900,somaliland,central africa,1,somaliland-central africa
1900,somaliland,india,1,somaliland-india
1900,somaliland,italy,1,somaliland-italy
1900,south africa,arab,1,south africa-arab
1900,south africa,australia,2,south africa-australia
1900,south africa,boer,33,south africa-boer
1900,south africa,canada,2,south africa-canada
1900,south africa,cape colony,3,south africa-cape colony
1900,south africa,central,1,south africa-central
1900,south africa,central africa,1,south africa-central africa
1900,south africa,china,1,south africa-china
1900,south africa,colonial,6,south africa-colonial
1900,south africa,colonies,9,south africa-colonies
1900,south africa,england,1,south africa-england
1900,south africa,home,3,south africa-home
1900,south africa,imperial,3,south africa-imperial
1900,south africa,kaffirs,2,south africa-kaffirs
1900,south africa,natal,8,south africa-natal
1900,south africa,orange free state,2,south africa-orange free state
1900,south africa,rhodesia,1,south africa-rhodesia
1900,south africa,somaliland,1,south africa-somaliland
1900,south africa,south africa,4,south africa-south africa
1900,south africa,transvaal,12,south africa-transvaal
1900,south africa,victoria,2,south africa-victoria
1900,spain,trinidad,1,spain-trinidad
1900,spain,west indies,1,spain-west indies
1900,spanish,morocco,1,spanish-morocco
1900,sweden,norway,1,sweden-norway
1900,the colonies,colonial,1,the colonies-colonial
1900,the colonies,india,1,the colonies-india
1900,tibet,india,1,tibet-india
1900,tibet,russia,1,tibet-russia
1900,transvaal,boer,1,transvaal-boer
1900,transvaal,cape colony,1,transvaal-cape colony
1900,transvaal,central,1,transvaal-central
1900,transvaal,central africa,3,transvaal-central africa
1900,transvaal,china,2,transvaal-china
1900,transvaal,colonies,7,transvaal-colonies
1900,transvaal,fiji,1,transvaal-fiji
1900,transvaal,kaffirs,1,transvaal-kaffirs
1900,transvaal,mozambique,1,transvaal-mozambique
1900,transvaal,south africa,1,transvaal-south africa
1900,transvaal,transvaal,2,transvaal-transvaal
1900,trinidad,panama,2,trinidad-panama
1900,trinidad,tobago,1,trinidad-tobago
1900,turkey,egypt,4,turkey-egypt
1900,uganda,africa,1,uganda-africa
1900,united kingdom,australia,1,united kingdom-australia
1900,united kingdom,france,1,united kingdom-france
1900,united kingdom,germany,3,united kingdom-germany
1900,united kingdom,india,1,united kingdom-india
1900,united kingdom,the continent,1,united kingdom-the continent
1900,united kingdom,united states,3,united kingdom-united states
1900,united states,abyssinia,1,united states-abyssinia
1900,united states,argentina,1,united states-argentina
1900,united states,canada,4,united states-canada
1900,united states,colonies,1,united states-colonies
1900,united states,cuba,2,united states-cuba
1900,united states,england,1,united states-england
1900,united states,france,1,united states-france
1900,united states,newfoundland,1,united states-newfoundland
1900,united states,united kingdom,1,united states-united kingdom
1900,venezuela,trinidad,1,venezuela-trinidad
1900,west,africa,22,west-africa
1900,west,australia,3,west-australia
1900,west,central,1,west-central
1900,west,england,1,west-england
1900,west,india,1,west-india
1900,west,ireland,13,west-ireland
1900,west,scotland,2,west-scotland
1900,west,socotra,1,west-socotra
1900,west coast,africa,2,west coast-africa
1900,west coast,ireland,5,west coast-ireland
1900,west india,colonies,1,west india-colonies
1900,west india,venezuela,1,west india-venezuela
1900,west indies,united kingdom,1,west indies-united kingdom
1900,zululand,south africa,1,zululand-south africa
1910,africa,uganda,1,africa-uganda
1910,argentine,ireland,1,argentine-ireland
1910,australia,new zealand,3,australia-new zealand
1910,bengal,assam,1,bengal-assam
1910,bengal,bengal,1,bengal-bengal
1910,canada,england,1,canada-england
1910,canada,germany,2,canada-germany
1910,canada,united states,1,canada-united states
1910,china,singapore,1,china-singapore
1910,china,tibet,1,china-tibet
1910,colonial,colonies,1,colonial-colonies
1910,colonial,lagos,1,colonial-lagos
1910,east india,china,1,east india-china
1910,england,france,2,england-france
1910,england,germany,1,england-germany
1910,england,ireland,2,england-ireland
1910,england,scotland,1,england-scotland
1910,france,germany,1,france-germany
1910,france,united kingdom,1,france-united kingdom
1910,france,united states,1,france-united states
1910,germany,france,1,germany-france
1910,germany,united states,4,germany-united states
1910,home,atlantic,1,home-atlantic
1910,home,ireland,1,home-ireland
1910,hong kong,straits settlements,1,hong kong-straits settlements
1910,imperial,ireland,1,imperial-ireland
1910,ireland,wales,1,ireland-wales
1910,japan,united kingdom,1,japan-united kingdom
1910,peru,ecuador,1,peru-ecuador
1910,punjab,colonies,1,punjab-colonies
1910,russia,finland,1,russia-finland
1910,russia,india,1,russia-india
1910,russia,japan,1,russia-japan
1910,scotland,ireland,2,scotland-ireland
1910,south africa,colonies,1,south africa-colonies
1910,spain,italy,1,spain-italy
1910,trinidad,west india,1,trinidad-west india
1910,uganda,africa,1,uganda-africa
1910,united kingdom,germany,1,united kingdom-germany
1910,united states,canada,2,united states-canada
1910,wales,wales,1,wales-wales
1910,west,africa,2,west-africa
1910,west,australia,1,west-australia
1910,west,ireland,2,west-ireland
1910,west,scotland,1,west-scotland
1910,west,west,2,west-west
1910,west coast,africa,1,west coast-africa
1910,west coast,colonies,1,west coast-colonies
1910,west coast,ireland,2,west coast-ireland
